month,year,group_of_product,product,sub_product,line_of_business,branch,channel,agent,gross_written_premium,net_written_premium,earned_premium,claims_reported,claims_paid,outstanding_claims,commissions,brokerage_costs,direct_costs,indirect_costs,reinsurance_costs,receivables,budget,actual,forecast
9,2021,Property Insurance,Property All Risks,Commercial,Property Insurance,Sur,Digital,Agent-003,46563.0,33848.0,34830.0,20585.0,12621.0,7964.0,4912.0,1156.0,3329.0,2060.0,4543.0,17967.0,44616.0,46563.0,46675.0
9,2021,Property Insurance,Property All Risks,Commercial,Property Insurance,Muscat HQ,Broker,Agent-004,39540.0,31979.0,33517.0,27942.0,24086.0,3856.0,5499.0,1808.0,2212.0,1166.0,6556.0,11803.0,38541.0,39540.0,36975.0
9,2021,Marine Insurance,Marine Cargo,Import/Export,Marine Insurance,Muscat HQ,Direct,Agent-005,5716.0,20885.0,21047.0,11756.0,7791.0,3965.0,3142.0,1286.0,1138.0,838.0,4762.0,11191.0,28586.0,5716.0,26954.0
9,2021,Marine Insurance,Marine Hull,Commercial Vessels,Marine Insurance,Muscat HQ,Broker,Agent-008,52727.0,38515.0,35687.0,33097.0,26590.0,6507.0,3690.0,2223.0,3468.0,2223.0,3673.0,7230.0,57236.0,52727.0,51863.0
9,2021,Medical Insurance,Group Medical,Corporate,Medical Insurance,Nizwa,Digital,Agent-013,61049.0,47106.0,48576.0,21974.0,17454.0,4520.0,6923.0,869.0,2260.0,1989.0,11901.0,17021.0,66336.0,61049.0,64022.0
9,2021,Medical Insurance,Group Medical,Corporate,Medical Insurance,Muscat HQ,Bancassurance,Agent-004,59470.0,53961.0,53918.0,26349.0,20704.0,5645.0,6578.0,2659.0,3577.0,1925.0,6311.0,13545.0,61277.0,59470.0,62967.0
9,2021,Medical Insurance,Individual Medical,Standard,Medical Insurance,Salalah,Bancassurance,Agent-001,31839.0,28787.0,23787.0,11991.0,9689.0,2302.0,2057.0,1369.0,1449.0,774.0,5990.0,4765.0,30468.0,31839.0,30074.0
9,2021,Engineering Insurance,Contractors All Risks,Construction Projects,Engineering Insurance,Muscat HQ,Digital,Agent-007,47786.0,34088.0,32308.0,29737.0,21939.0,7798.0,3909.0,1442.0,3524.0,2176.0,2701.0,7381.0,45270.0,47786.0,45870.0
9,2021,Engineering Insurance,Contractors All Risks,Construction Projects,Engineering Insurance,Nizwa,Digital,Agent-012,35843.0,28438.0,26474.0,14003.0,12486.0,1516.0,1978.0,1684.0,1253.0,1624.0,6645.0,14118.0,38008.0,35843.0,37446.0
9,2021,Engineering Insurance,Machinery Breakdown,Industrial,Engineering Insurance,Sohar,Broker,Agent-003,41976.0,34780.0,35280.0,22462.0,16505.0,5957.0,4783.0,867.0,1553.0,1441.0,4724.0,7126.0,40864.0,41976.0,41079.0
9,2021,Liability Insurance,General Liability,Commercial,Liability Insurance,Sohar,Bancassurance,Agent-008,40987.0,38413.0,39530.0,22230.0,15893.0,6337.0,4244.0,1801.0,2567.0,1809.0,5324.0,11881.0,39250.0,40987.0,42527.0
9,2021,Liability Insurance,General Liability,Commercial,Liability Insurance,Sur,Bancassurance,Agent-009,45845.0,39133.0,32237.0,29354.0,18480.0,10873.0,6583.0,710.0,3573.0,2018.0,6375.0,15348.0,48551.0,45845.0,49116.0
9,2021,Liability Insurance,Professional Indemnity,Corporate,Liability Insurance,Muscat HQ,Bancassurance,Agent-007,48744.0,41005.0,38672.0,26146.0,20470.0,5676.0,6161.0,2046.0,2662.0,1852.0,9246.0,6625.0,45011.0,48744.0,45529.0
9,2021,Travel Insurance,Individual Travel,Standard,Travel Insurance,Nizwa,Digital,Agent-015,54765.0,42904.0,43959.0,35872.0,24920.0,10952.0,4733.0,1236.0,2075.0,1338.0,10428.0,12671.0,53487.0,54765.0,56778.0
9,2021,Travel Insurance,Individual Travel,Standard,Travel Insurance,Nizwa,Digital,Agent-007,47428.0,38883.0,34765.0,35317.0,30063.0,5255.0,6883.0,699.0,3440.0,1855.0,3239.0,13113.0,49193.0,47428.0,43727.0
9,2021,Travel Insurance,Group Travel,Corporate,Travel Insurance,Nizwa,Direct,Agent-011,25785.0,20900.0,18298.0,18497.0,16157.0,2341.0,1574.0,1286.0,1907.0,735.0,4526.0,3402.0,28359.0,25785.0,26468.0
9,2021,Life Insurance (Group),Group Life,Corporate,Life Insurance (Group),Salalah,Direct,Agent-011,51361.0,39045.0,32632.0,33934.0,22715.0,11220.0,7245.0,1862.0,1634.0,1036.0,2966.0,14472.0,54458.0,51361.0,49212.0
9,2021,Life Insurance (Group),Group Life,Corporate,Life Insurance (Group),Sur,Direct,Agent-005,41581.0,37133.0,36188.0,28491.0,17495.0,10996.0,2918.0,624.0,2296.0,1761.0,6009.0,14776.0,38714.0,41581.0,43142.0
10,2021,Motor Insurance,Motor Third Party Cover,Individual Vehicle,Motor Insurance,Nizwa,Digital,Agent-009,65649.0,55991.0,45556.0,39161.0,24077.0,15084.0,9087.0,2520.0,2538.0,1494.0,5090.0,25866.0,65105.0,65649.0,68633.0
10,2021,Motor Insurance,Motor Third Party Cover,Fleet,Motor Insurance,Muscat HQ,Bancassurance,Agent-007,60848.0,47178.0,44559.0,38329.0,31707.0,6622.0,8766.0,970.0,3372.0,1954.0,7370.0,8261.0,56395.0,60848.0,58687.0
10,2021,Motor Insurance,Motor Third Party Cover,Trade Plate,Motor Insurance,Nizwa,Bancassurance,Agent-010,44690.0,35884.0,32374.0,19532.0,15741.0,3791.0,3651.0,511.0,2276.0,1529.0,3747.0,12144.0,45278.0,44690.0,46134.0
10,2021,Motor Insurance,Motor Third Party Cover,Trade Plate,Motor Insurance,Sohar,Digital,Agent-006,52430.0,47022.0,44073.0,27398.0,22442.0,4956.0,4512.0,1600.0,3504.0,2443.0,9865.0,13165.0,52643.0,52430.0,54946.0
10,2021,Motor Insurance,Motor Comprehensive Cover,Individual Vehicle,Motor Insurance,Salalah,Bancassurance,Agent-011,52350.0,37588.0,37983.0,19486.0,13605.0,5881.0,4367.0,886.0,2392.0,2213.0,2733.0,18226.0,56083.0,52350.0,51280.0
10,2021,Motor Insurance,Motor Extended Warranty Cover,Standard,Motor Insurance,Sohar,Digital,Agent-014,9426.0,8856.0,9289.0,6210.0,4402.0,1808.0,1119.0,360.0,466.0,370.0,486.0,1534.0,9473.0,9426.0,8919.0
10,2021,Property Insurance,Fire & Perils,Commercial,Property Insurance,Nizwa,Direct,Agent-003,33358.0,30348.0,31792.0,13565.0,10267.0,3298.0,2977.0,440.0,2261.0,1101.0,4016.0,4844.0,31229.0,33358.0,35531.0
10,2021,Property Insurance,Fire & Perils,Commercial,Property Insurance,Salalah,Digital,Agent-013,38535.0,32624.0,30122.0,14784.0,10131.0,4653.0,5177.0,1368.0,2407.0,1545.0,6336.0,4525.0,37507.0,38535.0,38778.0
10,2021,Property Insurance,Fire & Perils,Residential,Property Insurance,Sohar,Direct,Agent-006,48557.0,44333.0,41061.0,34661.0,27919.0,6742.0,6557.0,1147.0,2668.0,1745.0,3192.0,10661.0,52610.0,48557.0,49573.0
10,2021,Property Insurance,Property All Risks,Commercial,Property Insurance,Muscat HQ,Bancassurance,Agent-011,43084.0,40149.0,36618.0,20379.0,16496.0,3883.0,2186.0,910.0,2807.0,1681.0,8499.0,12327.0,42890.0,43084.0,44886.0
10,2021,Marine Insurance,Marine Cargo,Import/Export,Marine Insurance,Sur,Broker,Agent-001,41475.0,38020.0,31500.0,26667.0,20108.0,6559.0,4368.0,1500.0,3255.0,2055.0,3867.0,13277.0,43548.0,41475.0,40456.0
10,2021,Marine Insurance,Marine Hull,Commercial Vessels,Marine Insurance,Nizwa,Broker,Agent-002,38753.0,36675.0,33603.0,28722.0,21371.0,7351.0,5013.0,519.0,2239.0,1708.0,7313.0,13439.0,35164.0,38753.0,37964.0
10,2021,Marine Insurance,Marine Hull,Commercial Vessels,Marine Insurance,Sohar,Bancassurance,Agent-014,9565.0,42004.0,41728.0,33294.0,28593.0,4701.0,6221.0,572.0,1996.0,1849.0,8547.0,4847.0,47963.0,9565.0,49180.0
10,2021,Medical Insurance,Group Medical,Corporate,Medical Insurance,Nizwa,Bancassurance,Agent-015,32513.0,29691.0,26336.0,22477.0,15838.0,6639.0,3545.0,841.0,1422.0,1515.0,2541.0,4079.0,31485.0,32513.0,33645.0
10,2021,Medical Insurance,Group Medical,Corporate,Medical Insurance,Sohar,Direct,Agent-005,47064.0,37744.0,31486.0,27294.0,25907.0,1388.0,5652.0,1591.0,2335.0,2234.0,5861.0,6603.0,45796.0,47064.0,43804.0
10,2021,Medical Insurance,Individual Medical,Standard,Medical Insurance,Nizwa,Bancassurance,Agent-001,47129.0,37035.0,33520.0,34578.0,29847.0,4731.0,4905.0,1008.0,3528.0,1275.0,4656.0,17566.0,47407.0,47129.0,48956.0
10,2021,Engineering Insurance,Contractors All Risks,Construction Projects,Engineering Insurance,Salalah,Digital,Agent-008,29198.0,22793.0,19120.0,20431.0,14284.0,6147.0,3099.0,1217.0,2020.0,968.0,3546.0,11633.0,30218.0,29198.0,30668.0
10,2021,Engineering Insurance,Machinery Breakdown,Industrial,Engineering Insurance,Nizwa,Broker,Agent-001,54490.0,39531.0,38077.0,39894.0,31096.0,8798.0,5084.0,623.0,4250.0,1258.0,3060.0,9471.0,49755.0,54490.0,54098.0
10,2021,Liability Insurance,General Liability,Commercial,Liability Insurance,Muscat HQ,Broker,Agent-007,32630.0,25978.0,21175.0,20533.0,13808.0,6726.0,2617.0,841.0,1659.0,654.0,2180.0,11709.0,29375.0,32630.0,32673.0
10,2021,Liability Insurance,Professional Indemnity,Corporate,Liability Insurance,Nizwa,Direct,Agent-005,40789.0,37130.0,32121.0,19538.0,13381.0,6157.0,3997.0,1523.0,1689.0,1220.0,7732.0,4673.0,40469.0,40789.0,42169.0
10,2021,Travel Insurance,Individual Travel,Standard,Travel Insurance,Sur,Digital,Agent-015,48338.0,33948.0,28757.0,17523.0,11192.0,6331.0,5415.0,951.0,2826.0,1823.0,8576.0,4903.0,51754.0,48338.0,49259.0
10,2021,Travel Insurance,Group Travel,Corporate,Travel Insurance,Sur,Direct,Agent-012,45137.0,41964.0,38339.0,26693.0,25215.0,1478.0,3889.0,1920.0,2073.0,1985.0,6324.0,7443.0,44361.0,45137.0,43820.0
10,2021,Travel Insurance,Group Travel,Corporate,Travel Insurance,Salalah,Broker,Agent-001,46003.0,34106.0,33468.0,29131.0,25009.0,4122.0,3759.0,2098.0,2746.0,1094.0,3292.0,14166.0,42994.0,46003.0,46057.0
10,2021,Life Insurance (Group),Group Life,Corporate,Life Insurance (Group),Muscat HQ,Bancassurance,Agent-003,166427.0,56329.0,46851.0,47193.0,42858.0,4336.0,6898.0,2321.0,2906.0,1432.0,9266.0,12544.0,68749.0,166427.0,70152.0
10,2021,Life Insurance (Group),Group Life,Corporate,Life Insurance (Group),Salalah,Broker,Agent-008,57310.0,43751.0,41682.0,32748.0,24190.0,8558.0,6749.0,2237.0,3344.0,2450.0,11319.0,12940.0,57477.0,57310.0,52840.0
11,2021,Motor Insurance,Motor Third Party Cover,Individual Vehicle,Motor Insurance,Sohar,Bancassurance,Agent-006,37463.0,34557.0,31058.0,23341.0,15225.0,8116.0,5475.0,642.0,1498.0,1715.0,7001.0,6131.0,37237.0,37463.0,38863.0
11,2021,Motor Insurance,Motor Third Party Cover,Fleet,Motor Insurance,Sohar,Digital,Agent-011,59570.0,52588.0,52364.0,34430.0,21919.0,12511.0,8364.0,2658.0,4164.0,1370.0,4805.0,19246.0,53889.0,59570.0,64138.0
11,2021,Motor Insurance,Motor Third Party Cover,Trade Plate,Motor Insurance,Sur,Direct,Agent-006,46573.0,36317.0,34580.0,27124.0,20158.0,6965.0,5131.0,2208.0,2486.0,1206.0,4964.0,10164.0,43137.0,46573.0,44061.0
11,2021,Motor Insurance,Motor Third Party Cover,Trade Plate,Motor Insurance,Salalah,Bancassurance,Agent-011,52999.0,40327.0,33259.0,34524.0,31360.0,3164.0,4124.0,958.0,2082.0,1890.0,6374.0,9425.0,48178.0,52999.0,52842.0
11,2021,Motor Insurance,Motor Comprehensive Cover,Individual Vehicle,Motor Insurance,Sur,Digital,Agent-012,21497.0,16404.0,14332.0,14100.0,12787.0,1313.0,3013.0,1062.0,1701.0,1045.0,1306.0,3038.0,20656.0,21497.0,21679.0
11,2021,Motor Insurance,Motor Extended Warranty Cover,Standard,Motor Insurance,Sohar,Direct,Agent-004,38307.0,28398.0,24517.0,15864.0,14249.0,1615.0,4153.0,1510.0,1716.0,1193.0,4242.0,12565.0,40394.0,38307.0,36510.0
11,2021,Motor Insurance,Motor Extended Warranty Cover,Standard,Motor Insurance,Sur,Broker,Agent-003,29676.0,22736.0,23000.0,12517.0,9322.0,3195.0,2819.0,588.0,1944.0,1351.0,5377.0,5988.0,29859.0,29676.0,28481.0
11,2021,Property Insurance,Fire & Perils,Commercial,Property Insurance,Sur,Digital,Agent-004,46431.0,41525.0,38594.0,25362.0,19920.0,5443.0,4813.0,1271.0,1699.0,1104.0,8954.0,11357.0,50639.0,46431.0,43931.0
11,2021,Property Insurance,Fire & Perils,Residential,Property Insurance,Salalah,Digital,Agent-014,56283.0,41072.0,42272.0,26938.0,21896.0,5042.0,5431.0,1464.0,3185.0,1442.0,11160.0,19446.0,59003.0,56283.0,56002.0
11,2021,Property Insurance,Property All Risks,Commercial,Property Insurance,Salalah,Broker,Agent-007,36455.0,28639.0,28599.0,21839.0,18843.0,2997.0,4716.0,674.0,2777.0,1208.0,5317.0,3671.0,40052.0,36455.0,35177.0
11,2021,Property Insurance,Property All Risks,Commercial,Property Insurance,Muscat HQ,Bancassurance,Agent-015,45415.0,33520.0,32115.0,23033.0,21252.0,1782.0,3720.0,1773.0,2410.0,1807.0,6356.0,10983.0,49503.0,45415.0,44272.0
11,2021,Marine Insurance,Marine Cargo,Import/Export,Marine Insurance,Sohar,Bancassurance,Agent-011,52584.0,42719.0,43707.0,34171.0,32365.0,1807.0,5424.0,1914.0,2373.0,2546.0,5519.0,16908.0,51565.0,52584.0,53104.0
11,2021,Marine Insurance,Marine Cargo,Import/Export,Marine Insurance,Sur,Digital,Agent-013,54885.0,47298.0,41887.0,28170.0,21241.0,6929.0,3435.0,750.0,3478.0,2177.0,8202.0,5814.0,52981.0,54885.0,52231.0
11,2021,Marine Insurance,Marine Hull,Commercial Vessels,Marine Insurance,Salalah,Direct,Agent-005,32747.0,23982.0,20836.0,13278.0,9284.0,3994.0,3847.0,1520.0,1314.0,1188.0,5083.0,12636.0,33468.0,32747.0,31464.0
11,2021,Marine Insurance,Marine Hull,Commercial Vessels,Marine Insurance,Sur,Broker,Agent-013,59252.0,47396.0,46039.0,21289.0,15754.0,5535.0,8148.0,2039.0,3093.0,2849.0,10553.0,11653.0,59780.0,59252.0,59155.0
11,2021,Medical Insurance,Group Medical,Corporate,Medical Insurance,Salalah,Broker,Agent-005,38548.0,35887.0,36276.0,28575.0,24596.0,3979.0,4875.0,1561.0,2083.0,1299.0,3316.0,11312.0,36924.0,38548.0,37054.0
11,2021,Medical Insurance,Individual Medical,Standard,Medical Insurance,Muscat HQ,Broker,Agent-007,39522.0,36169.0,30451.0,13951.0,10012.0,3939.0,5128.0,1722.0,1459.0,1709.0,2662.0,8577.0,43464.0,39522.0,37578.0
11,2021,Engineering Insurance,Contractors All Risks,Construction Projects,Engineering Insurance,Salalah,Bancassurance,Agent-012,37961.0,35881.0,29329.0,15382.0,13486.0,1896.0,2925.0,1723.0,2398.0,887.0,6639.0,5804.0,37380.0,37961.0,38278.0
11,2021,Engineering Insurance,Contractors All Risks,Construction Projects,Engineering Insurance,Nizwa,Digital,Agent-013,37127.0,35266.0,32766.0,14408.0,12315.0,2093.0,5482.0,844.0,1970.0,1216.0,2143.0,11201.0,36038.0,37127.0,38835.0
11,2021,Engineering Insurance,Machinery Breakdown,Industrial,Engineering Insurance,Sohar,Digital,Agent-012,55083.0,48870.0,48887.0,30103.0,27471.0,2632.0,3547.0,2488.0,1917.0,1355.0,7165.0,6624.0,50156.0,55083.0,50681.0
11,2021,Engineering Insurance,Machinery Breakdown,Industrial,Engineering Insurance,Salalah,Bancassurance,Agent-009,42790.0,36930.0,37144.0,17852.0,11629.0,6223.0,5823.0,1837.0,2437.0,1907.0,2735.0,9343.0,44825.0,42790.0,41129.0
11,2021,Liability Insurance,General Liability,Commercial,Liability Insurance,Muscat HQ,Broker,Agent-014,65626.0,51974.0,44427.0,28439.0,24543.0,3896.0,4062.0,882.0,2547.0,1658.0,11384.0,14408.0,72062.0,65626.0,61816.0
11,2021,Liability Insurance,General Liability,Commercial,Liability Insurance,Salalah,Digital,Agent-010,45016.0,42491.0,43265.0,19218.0,13016.0,6202.0,5204.0,971.0,3004.0,1665.0,5971.0,15691.0,46912.0,45016.0,41606.0
11,2021,Liability Insurance,Professional Indemnity,Corporate,Liability Insurance,Sohar,Bancassurance,Agent-014,43597.0,35081.0,34712.0,29674.0,23633.0,6041.0,3860.0,908.0,2446.0,1284.0,5869.0,13210.0,39814.0,43597.0,40117.0
11,2021,Travel Insurance,Individual Travel,Standard,Travel Insurance,Nizwa,Bancassurance,Agent-003,52356.0,48301.0,44316.0,28295.0,26242.0,2053.0,2929.0,974.0,3104.0,1354.0,7954.0,8598.0,48158.0,52356.0,49901.0
11,2021,Travel Insurance,Individual Travel,Standard,Travel Insurance,Sohar,Bancassurance,Agent-007,43771.0,40054.0,35251.0,21636.0,13400.0,8236.0,3753.0,901.0,2649.0,1145.0,8021.0,16585.0,40268.0,43771.0,41022.0
11,2021,Travel Insurance,Group Travel,Corporate,Travel Insurance,Sohar,Broker,Agent-005,60899.0,54113.0,54381.0,34130.0,32383.0,1746.0,3314.0,1586.0,2813.0,2951.0,8315.0,20819.0,56884.0,60899.0,65563.0
11,2021,Life Insurance (Group),Group Life,Corporate,Life Insurance (Group),Sur,Digital,Agent-011,46038.0,36802.0,34822.0,18471.0,13159.0,5313.0,3191.0,651.0,3375.0,1735.0,4779.0,10248.0,45408.0,46038.0,47019.0
11,2021,Life Insurance (Group),Group Life,Corporate,Life Insurance (Group),Salalah,Digital,Agent-009,26287.0,21365.0,20126.0,14057.0,11675.0,2382.0,2772.0,600.0,1243.0,824.0,1688.0,3938.0,27460.0,26287.0,25821.0
12,2021,Motor Insurance,Motor Third Party Cover,Individual Vehicle,Motor Insurance,Nizwa,Direct,Agent-001,43614.0,39545.0,40805.0,25687.0,21426.0,4261.0,2410.0,2086.0,2164.0,2081.0,5968.0,4422.0,39589.0,43614.0,44873.0
12,2021,Motor Insurance,Motor Third Party Cover,Individual Vehicle,Motor Insurance,Salalah,Bancassurance,Agent-004,59323.0,54164.0,50054.0,31815.0,19150.0,12665.0,7633.0,1378.0,4386.0,1850.0,7995.0,10744.0,55296.0,59323.0,61933.0
12,2021,Motor Insurance,Motor Third Party Cover,Fleet,Motor Insurance,Muscat HQ,Broker,Agent-002,26093.0,23846.0,20195.0,15335.0,13914.0,1421.0,2282.0,366.0,1841.0,899.0,3514.0,10297.0,26652.0,26093.0,25779.0
12,2021,Motor Insurance,Motor Third Party Cover,Fleet,Motor Insurance,Muscat HQ,Bancassurance,Agent-007,54655.0,49705.0,43298.0,25771.0,23349.0,2422.0,2864.0,1684.0,2907.0,2225.0,4072.0,16424.0,53307.0,54655.0,55693.0
12,2021,Motor Insurance,Motor Third Party Cover,Trade Plate,Motor Insurance,Sohar,Direct,Agent-007,25933.0,19058.0,16145.0,12647.0,8016.0,4630.0,3753.0,679.0,1827.0,1277.0,1611.0,7663.0,27860.0,25933.0,26490.0
12,2021,Motor Insurance,Motor Third Party Cover,Trade Plate,Motor Insurance,Sur,Direct,Agent-011,50268.0,41906.0,43933.0,36871.0,22644.0,14227.0,6061.0,1109.0,3778.0,1073.0,9570.0,17656.0,46422.0,50268.0,46728.0
12,2021,Motor Insurance,Motor Comprehensive Cover,Individual Vehicle,Motor Insurance,Muscat HQ,Digital,Agent-010,38915.0,32761.0,29462.0,20547.0,12782.0,7765.0,5716.0,873.0,1536.0,1112.0,7575.0,4992.0,41773.0,38915.0,40209.0
12,2021,Motor Insurance,Motor Comprehensive Cover,Individual Vehicle,Motor Insurance,Sur,Bancassurance,Agent-002,25737.0,18832.0,18813.0,14625.0,11557.0,3068.0,3600.0,1258.0,1679.0,888.0,3049.0,5557.0,25024.0,25737.0,25290.0
12,2021,Motor Insurance,Motor Extended Warranty Cover,Standard,Motor Insurance,Nizwa,Digital,Agent-001,34010.0,31720.0,30231.0,12382.0,8112.0,4270.0,2401.0,1667.0,1392.0,1206.0,6476.0,13371.0,32217.0,34010.0,31557.0
12,2021,Motor Insurance,Motor Extended Warranty Cover,Standard,Motor Insurance,Nizwa,Digital,Agent-013,38032.0,32029.0,32929.0,21484.0,17597.0,3887.0,2669.0,1598.0,2316.0,1747.0,7315.0,7773.0,34918.0,38032.0,36364.0
12,2021,Property Insurance,Fire & Perils,Commercial,Property Insurance,Sohar,Bancassurance,Agent-001,42393.0,35403.0,29941.0,20276.0,16801.0,3475.0,4972.0,1161.0,1756.0,1766.0,3194.0,16152.0,39747.0,42393.0,39730.0
12,2021,Property Insurance,Fire & Perils,Residential,Property Insurance,Nizwa,Direct,Agent-013,39720.0,37683.0,34727.0,21496.0,16071.0,5425.0,2251.0,1339.0,1644.0,1554.0,2289.0,15666.0,39474.0,39720.0,42242.0
12,2021,Property Insurance,Fire & Perils,Residential,Property Insurance,Sur,Direct,Agent-012,43737.0,39164.0,35524.0,26469.0,23813.0,2655.0,4947.0,1046.0,2761.0,1756.0,8489.0,9241.0,43082.0,43737.0,45922.0
12,2021,Property Insurance,Property All Risks,Commercial,Property Insurance,Sohar,Direct,Agent-014,27874.0,24705.0,20574.0,11970.0,9808.0,2162.0,3477.0,1276.0,1216.0,650.0,5391.0,4079.0,26189.0,27874.0,26944.0
12,2021,Marine Insurance,Marine Cargo,Import/Export,Marine Insurance,Nizwa,Direct,Agent-013,54331.0,40411.0,35943.0,29413.0,19165.0,10247.0,4202.0,1213.0,1976.0,1983.0,8462.0,6573.0,54126.0,54331.0,56785.0
12,2021,Marine Insurance,Marine Cargo,Import/Export,Marine Insurance,Sur,Broker,Agent-014,30822.0,27898.0,23998.0,15236.0,10082.0,5154.0,2982.0,792.0,1296.0,1312.0,2992.0,5605.0,28547.0,30822.0,30521.0
12,2021,Marine Insurance,Marine Hull,Commercial Vessels,Marine Insurance,Sohar,Broker,Agent-008,47523.0,44316.0,40969.0,28856.0,26072.0,2784.0,7123.0,1641.0,3540.0,2246.0,8018.0,11324.0,43542.0,47523.0,43842.0
12,2021,Medical Insurance,Group Medical,Corporate,Medical Insurance,Nizwa,Digital,Agent-007,48713.0,40823.0,41197.0,19167.0,13011.0,6156.0,6299.0,2139.0,3884.0,2250.0,8938.0,9465.0,47755.0,48713.0,46905.0
12,2021,Medical Insurance,Individual Medical,Standard,Medical Insurance,Nizwa,Direct,Agent-005,35361.0,27372.0,23060.0,15137.0,9389.0,5748.0,5125.0,923.0,2536.0,1430.0,2786.0,5397.0,37568.0,35361.0,34030.0
12,2021,Engineering Insurance,Contractors All Risks,Construction Projects,Engineering Insurance,Sohar,Broker,Agent-015,6248.0,23704.0,20600.0,22985.0,15920.0,7065.0,2905.0,853.0,1332.0,1352.0,5179.0,6669.0,33332.0,6248.0,29804.0
12,2021,Engineering Insurance,Contractors All Risks,Construction Projects,Engineering Insurance,Nizwa,Bancassurance,Agent-003,49149.0,36960.0,34363.0,33125.0,20907.0,12218.0,4400.0,1960.0,2388.0,1261.0,3899.0,10961.0,48946.0,49149.0,51994.0
12,2021,Engineering Insurance,Machinery Breakdown,Industrial,Engineering Insurance,Sohar,Digital,Agent-010,50430.0,40387.0,41632.0,22611.0,19342.0,3269.0,6327.0,702.0,2694.0,1312.0,3924.0,12060.0,48307.0,50430.0,52819.0
12,2021,Engineering Insurance,Machinery Breakdown,Industrial,Engineering Insurance,Salalah,Bancassurance,Agent-013,41972.0,32053.0,26724.0,30535.0,22618.0,7917.0,3042.0,1841.0,2097.0,884.0,3118.0,12246.0,44346.0,41972.0,40030.0
12,2021,Liability Insurance,General Liability,Commercial,Liability Insurance,Sur,Direct,Agent-013,64085.0,45669.0,46439.0,30269.0,24718.0,5551.0,8075.0,970.0,4425.0,3086.0,10206.0,14891.0,68913.0,64085.0,64367.0
12,2021,Liability Insurance,Professional Indemnity,Corporate,Liability Insurance,Nizwa,Broker,Agent-012,39470.0,28792.0,24749.0,21754.0,16899.0,4854.0,4273.0,1018.0,2737.0,1871.0,3434.0,12668.0,40875.0,39470.0,39615.0
12,2021,Travel Insurance,Individual Travel,Standard,Travel Insurance,Sur,Broker,Agent-014,54022.0,50211.0,52523.0,26515.0,21832.0,4683.0,5261.0,2672.0,1874.0,1749.0,9796.0,10006.0,57131.0,54022.0,53008.0
